Count,Name,Author,BLDG_CH,BLDG_LET_1,BLDG_LETTE,BLDG_NUM,BLDG_NUM_2,BLDG_TYPE,Block Unit,CITY_CODE,Color,Comments,Drawing Revision Number,EdgeStyleId,FaceStyleId,File Accessed,File Created,File Last Saved By,File Location,File Modified,File Name,File Size,Hyperlink,Hyperlink Base,Keywords,Layer,Linetype,Linetype Scale,Lineweight,NUM_APTS_C,NUM_BUSNS_,NUM_ENTR,NUM_FLOORS,Plot Style,Position X,Position Y,Position Z,Rotation,Scale X,Scale Y,Scale Z,STREET_C_1,STREET_COD,STRT_TYPE,Subject,Title,Total Editing Time,Unit Factor,VisualStyleId,NAME1,Closed,Fit/Smooth,Length,Material,Constant,Height,Invisible,Lock Position,Obliquing,Preset,Prompt,Style,Tag,Value,Verify,Width Factor,Area,Center X,Center Y,Center Z,Circumference,Diameter,Radius,Thickness,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z,Contents,ContentsRTF,Position X1,Position Y1,Position Z1,ShowBorders,Width,Global Width
1,Polyline,,,,,,,,,,"35,35,255",,,(0),(0),18/2/2021,18/2/2021,tanya,Y:\HQ\04 Parametric Tools\Taba - Prel.Analys,18/2/2021,Composite_Clean.dwg,3179396,,,,chelkot lines,Continuous,1.0000,ByLayer,,,,,Color_160,,,,,,,,,,,,,16,,(0),,-1,,87.1433,ByLayer,,,,,,,,,,,,,458.6474,,,,,,,0.0000,,,,,,,,,,,,,,,,,,0.6500
1,Polyline,,,,,,,,,,"35,35,255",,,(0),(0),18/2/2021,18/2/2021,tanya,Y:\HQ\04 Parametric Tools\Taba - Prel.Analys,18/2/2021,Composite_Clean.dwg,3179396,,,,chelkot lines,Continuous,1.0000,ByLayer,,,,,Color_160,,,,,,,,,,,,,16,,(0),,-1,,66.9382,ByLayer,,,,,,,,,,,,,50.7555,,,,,,,0.0000,,,,,,,,,,,,,,,,,,0.6500
1,Polyline,,,,,,,,,,"35,35,255",,,(0),(0),18/2/2021,18/2/2021,tanya,Y:\HQ\04 Parametric Tools\Taba - Prel.Analys,18/2/2021,Composite_Clean.dwg,3179396,,,,chelkot lines,Continuous,1.0000,ByLayer,,,,,Color_160,,,,,,,,,,,,,16,,(0),,-1,,117.4966,ByLayer,,,,,,,,,,,,,862.6600,,,,,,,0.0000,,,,,,,,,,,,,,,,,,0.6500
1,Polyline,,,,,,,,,,"35,35,255",,,(0),(0),18/2/2021,18/2/2021,tanya,Y:\HQ\04 Parametric Tools\Taba - Prel.Analys,18/2/2021,Composite_Clean.dwg,3179396,,,,chelkot lines,Continuous,1.0000,ByLayer,,,,,Color_160,,,,,,,,,,,,,16,,(0),,-1,,88.0722,ByLayer,,,,,,,,,,,,,471.9003,,,,,,,0.0000,,,,,,,,,,,,,,,,,,0.6500
1,Polyline,,,,,,,,,,"35,35,255",,,(0),(0),18/2/2021,18/2/2021,tanya,Y:\HQ\04 Parametric Tools\Taba - Prel.Analys,18/2/2021,Composite_Clean.dwg,3179396,,,,chelkot lines,Continuous,1.0000,ByLayer,,,,,Color_160,,,,,,,,,,,,,16,,(0),,-1,,109.5237,ByLayer,,,,,,,,,,,,,649.2134,,,,,,,0.0000,,,,,,,,,,,,,,,,,,0.6500
1,Polyline,,,,,,,,,,"35,35,255",,,(0),(0),18/2/2021,18/2/2021,tanya,Y:\HQ\04 Parametric Tools\Taba - Prel.Analys,18/2/2021,Composite_Clean.dwg,3179396,,,,chelkot lines,Continuous,1.0000,ByLayer,,,,,Color_160,,,,,,,,,,,,,16,,(0),,-1,,94.7704,ByLayer,,,,,,,,,,,,,580.7139,,,,,,,0.0000,,,,,,,,,,,,,,,,,,0.6500
1,Polyline,,,,,,,,,,"35,35,255",,,(0),(0),18/2/2021,18/2/2021,tanya,Y:\HQ\04 Parametric Tools\Taba - Prel.Analys,18/2/2021,Composite_Clean.dwg,3179396,,,,chelkot lines,Continuous,1.0000,ByLayer,,,,,Color_160,,,,,,,,,,,,,16,,(0),,-1,,186.6999,ByLayer,,,,,,,,,,,,,912.0082,,,,,,,0.0000,,,,,,,,,,,,,,,,,,0.6500
1,Polyline,,,,,,,,,,"35,35,255",,,(0),(0),18/2/2021,18/2/2021,tanya,Y:\HQ\04 Parametric Tools\Taba - Prel.Analys,18/2/2021,Composite_Clean.dwg,3179396,,,,chelkot lines,Continuous,1.0000,ByLayer,,,,,Color_160,,,,,,,,,,,,,16,,(0),,-1,,182.9996,ByLayer,,,,,,,,,,,,,2025.1606,,,,,,,0.0000,,,,,,,,,,,,,,,,,,0.6500
1,Polyline,,,,,,,,,,"35,35,255",,,(0),(0),18/2/2021,18/2/2021,tanya,Y:\HQ\04 Parametric Tools\Taba - Prel.Analys,18/2/2021,Composite_Clean.dwg,3179396,,,,chelkot lines,Continuous,1.0000,ByLayer,,,,,Color_160,,,,,,,,,,,,,16,,(0),,-1,,417.2159,ByLayer,,,,,,,,,,,,,2769.8414,,,,,,,0.0000,,,,,,,,,,,,,,,,,,0.6500
1,2206,,םירוגמ,-,-,21,-,-,Undefined,8300,ByLayer,,,(0),(0),18/2/2021,18/2/2021,tanya,Y:\HQ\04 Parametric Tools\Taba - Prel.Analys,18/2/2021,Composite_Clean.dwg,3179396,,,,2206,ByLayer,1.0000,ByLayer,4,0,1,2,ByLayer,180063.0264,654318.7977,0.0000,0,0.4000,0.4000,1.0000,-,108,18,,,16,1.0000,(0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
