Count,Name,BLDG_CH,BLDG_NUM,CITY_CODE,Layer,NUM_APTS_C,NUM_FLOORS,Position X,Position Y,Position Z,STREET_COD,STRT_TYPE,Closed,Length,Area
1,3D Polyline,,,,2200,,,,,,,,-1,42.4615,
1,2802,,,,2802,,,180061.9000,654433.8600,63.1700,,,,,
1,Attribute Definition,,,,0,,,180117.5900,654504.6700,63.5800,,,,,
1,Attribute Definition,,,,0,,,180116.4477,654504.4658,63.5800,,,,,
1,2802,,,,2802,,,180117.5900,654504.1700,63.5800,,,,,
1,Attribute Definition,,,,0,,,180100.6300,654415.2300,62.4300,,,,,
1,Attribute Definition,,,,0,,,180099.4877,654415.0258,62.4300,,,,,
1,Attribute Definition,,,,0,,,179849.0277,654368.2258,58.6600,,,,,
1,2802,,,,2802,,,179855.5300,654394.8100,58.6500,,,,,
1,Attribute Definition,,,,0,,,179850.1700,654368.4300,58.6600,,,,,
1,Attribute Definition,,,,0,,,179890.5977,654327.0058,61.1100,,,,,
1,2802,,,,2802,,,179850.1700,654367.9300,58.6600,,,,,
1,Attribute Definition,,,,0,,,179838.4800,654340.4300,58.2400,,,,,
1,Attribute Definition,,,,0,,,179837.3377,654340.2258,58.2400,,,,,
1,2802,,,,2802,,,179838.4800,654339.9300,58.2400,,,,,
1,Attribute Definition,,,,0,,,179855.5300,654395.3100,58.6500,,,,,
1,Attribute Definition,,,,0,,,179854.3877,654395.1058,58.6500,,,,,
1,Attribute Definition,,,,0,,,179849.7900,654219.0900,61.2700,,,,,
1,Attribute Definition,,,,0,,,179848.6477,654218.8858,61.2700,,,,,
1,2802,,,,2802,,,179849.7900,654218.5900,61.2700,,,,,
1,Attribute Definition,,,,0,,,179934.0800,654349.1500,61.5100,,,,,
1,Attribute Definition,,,,0,,,179932.9377,654348.9458,61.5100,,,,,
1,2802,,,,2802,,,179891.7400,654326.7100,61.1100,,,,,
1,Attribute Definition,,,,0,,,179891.7400,654327.2100,61.1100,,,,,
1,Attribute Definition,,,,0,,,180068.2977,654287.2658,59.4300,,,,,
1,2802,,,,2802,,,180069.4400,654286.9700,59.4300,,,,,
1,Attribute Definition,,,,0,,,180069.4400,654287.4700,59.4300,,,,,
1,3D Polyline,,,,2200,,,,,,,,-1,42.0312,
1,3D Polyline,,,,2200,,,,,,,,-1,214.3794,
