Name,BLDG_CH,BLDG_NUM,NUM_APTS_C,NUM_FLOORS,Position X,Position Y,Position Z,STREET_COD
Attribute Definition,,,,,180209.3700,654393.4660,59.3600,
Circle,,,,,,,,
Attribute Definition,,,,,180209.3700,654397.3003,59.3600,
Attribute Definition,,,,,180209.3700,654394.7499,59.3600,
4402,,,,,180175.8300,654702.3300,63.9800,
Line,,,,,,,,
Line,,,,,,,,
Attribute Definition,,,,,179952.6800,654521.6260,61.4100,
Circle,,,,,,,,
Attribute Definition,,,,,179952.6800,654525.4603,61.4100,
Attribute Definition,,,,,179952.6800,654522.9099,61.4100,
Line,,,,,,,,
Attribute Definition,,,,,180146.8100,654453.8860,61.9900,
4402,,,,,180222.2500,654489.2300,61.2700,
Line,,,,,,,,
Attribute Definition,,,,,180146.8100,654455.1699,61.9900,
Line,,,,,,,,
Circle,,,,,,,,
Attribute Definition,,,,,180146.8100,654457.7203,61.9900,
Attribute Definition,,,,,180222.2500,654486.6460,61.2700,
4402,,,,,180209.3700,654396.0500,59.3600,
Line,,,,,,,,
Attribute Definition,,,,,180222.2500,654487.9299,61.2700,
Line,,,,,,,,
Circle,,,,,,,,
Attribute Definition,,,,,180222.2500,654490.4803,61.2700,
Line,,,,,,,,
Line,,,,,,,,
Circle,,,,,,,,
4402,,,,,179956.6800,654540.5200,61.6000,
Attribute Definition,,,,,179944.7400,654493.9303,60.8500,
Attribute Definition,,,,,179944.7400,654491.3799,60.8500,
Attribute Definition,,,,,179944.7400,654490.0960,60.8500,
Line,,,,,,,,
Line,,,,,,,,
Circle,,,,,,,,
4402,,,,,179960.7300,654555.2500,61.8500,
Attribute Definition,,,,,179956.6800,654541.7703,61.6000,
Attribute Definition,,,,,179956.6800,654539.2199,61.6000,
Attribute Definition,,,,,179956.6800,654537.9360,61.6000,
Circle,,,,,,,,
4402,,,,,179941.5700,654479.5800,60.8500,
Line,,,,,,,,
Line,,,,,,,,
Attribute Definition,,,,,180175.8300,654699.7460,63.9800,
Circle,,,,,,,,
Attribute Definition,,,,,180175.8300,654703.5803,63.9800,
Attribute Definition,,,,,180175.8300,654701.0299,63.9800,
4402,,,,,179944.7400,654492.6800,60.8500,
Line,,,,,,,,
Line,,,,,,,,
Attribute Definition,,,,,179941.5700,654476.9960,60.8500,
Circle,,,,,,,,
Attribute Definition,,,,,179941.5700,654480.8303,60.8500,
Attribute Definition,,,,,179941.5700,654478.2799,60.8500,
Line,,,,,,,,
Attribute Definition,,,,,180019.3000,654710.6303,63.1100,
Attribute Definition,,,,,180019.3000,654708.0799,63.1100,
Attribute Definition,,,,,180019.3000,654706.7960,63.1100,
Circle,,,,,,,,
4402,,,,,180019.3000,654709.3800,63.1100,
Line,,,,,,,,
Line,,,,,,,,
Attribute Definition,,,,,180162.1300,654427.3403,60.9100,
Attribute Definition,,,,,180162.1300,654424.7899,60.9100,
Attribute Definition,,,,,180162.1300,654423.5060,60.9100,
Circle,,,,,,,,
4402,,,,,180162.1300,654426.0900,60.9100,
Line,,,,,,,,
Line,,,,,,,,
Attribute Definition,,,,,180001.9100,654658.8660,63.1700,
Circle,,,,,,,,
Attribute Definition,,,,,180010.4300,654680.1103,63.1700,
Attribute Definition,,,,,180010.4300,654677.5599,63.1700,
Line,,,,,,,,
Attribute Definition,,,,,180022.5900,654719.4960,62.7900,
4402,,,,,180010.4300,654678.8600,63.1700,
Line,,,,,,,,
Circle,,,,,,,,
Attribute Definition,,,,,180001.9100,654662.7003,63.1700,
Attribute Definition,,,,,180001.9100,654660.1499,63.1700,
Line,,,,,,,,
Attribute Definition,,,,,180010.4300,654676.2760,63.1700,
4402,,,,,180001.9100,654661.4500,63.1700,
Line,,,,,,,,
Attribute Definition,,,,,180134.2600,654455.4499,62.6800,
Attribute Definition,,,,,180134.2600,654454.1660,62.6800,
4402,,,,,180157.0400,654456.5200,61.9300,
Attribute Definition,,,,,180134.2600,654458.0003,62.6800,
Line,,,,,,,,
Line,,,,,,,,
Circle,,,,,,,,
Attribute Definition,,,,,180157.0400,654455.2199,61.9300,
Attribute Definition,,,,,180157.0400,654453.9360,61.9300,
4402,,,,,180146.8100,654456.4700,61.9900,
Attribute Definition,,,,,180157.0400,654457.7703,61.9300,
Line,,,,,,,,
Line,,,,,,,,
Circle,,,,,,,,
4402,,,,,180134.2600,654456.7500,62.6800,
Attribute Definition,,,,,180162.6600,654417.2203,60.8500,
Attribute Definition,,,,,180162.6600,654414.6699,60.8500,
Attribute Definition,,,,,180162.6600,654413.3860,60.8500,
Circle,,,,,,,,
4402,,,,,180162.6600,654415.9700,60.8500,
Line,,,,,,,,
Line,,,,,,,,
Attribute Definition,,,,,180141.5500,654457.8203,62.4300,
Attribute Definition,,,,,180141.5500,654455.2699,62.4300,
Attribute Definition,,,,,180141.5500,654453.9860,62.4300,
Circle,,,,,,,,
4402,,,,,180141.5500,654456.5700,62.4300,
Line,,,,,,,,
Line,,,,,,,,
Attribute Definition,,,,,180045.3000,654589.8560,64.8400,
4402,,,,,180032.2200,654581.7100,64.9200,
Line,,,,,,,,
Attribute Definition,,,,,180045.3000,654591.1399,64.8400,
Line,,,,,,,,
Circle,,,,,,,,
Attribute Definition,,,,,180045.3000,654593.6903,64.8400,
Attribute Definition,,,,,180032.2200,654579.1260,64.9200,
4402,,,,,180050.9100,654608.0100,64.5800,
Line,,,,,,,,
Attribute Definition,,,,,180032.2200,654580.4099,64.9200,
Line,,,,,,,,
Circle,,,,,,,,
Attribute Definition,,,,,180032.2200,654582.9603,64.9200,
Line,,,,,,,,
Attribute Definition,,,,,180100.9800,654433.3699,62.3800,
Attribute Definition,,,,,180100.9800,654432.0860,62.3800,
4402,,,,,180069.1900,654619.6500,64.1400,
Attribute Definition,,,,,180100.9800,654435.9203,62.3800,
Line,,,,,,,,
Line,,,,,,,,
Circle,,,,,,,,
Attribute Definition,,,,,180069.1900,654618.3499,64.1400,
Attribute Definition,,,,,180069.1900,654617.0660,64.1400,
4402,,,,,180045.3000,654592.4400,64.8400,
Attribute Definition,,,,,180069.1900,654620.9003,64.1400,
Line,,,,,,,,
Line,,,,,,,,
Circle,,,,,,,,
4402,,,,,180116.7500,654623.4900,64.3000,
Line,,,,,,,,
Line,,,,,,,,
Attribute Definition,,,,,180121.1700,654651.6360,64.2700,
Circle,,,,,,,,
Attribute Definition,,,,,180121.1700,654655.4703,64.2700,
Attribute Definition,,,,,180121.1700,654652.9199,64.2700,
4402,,,,,180116.9400,654607.3600,64.5100,
Line,,,,,,,,
Line,,,,,,,,
Attribute Definition,,,,,180116.7500,654620.9060,64.3000,
Circle,,,,,,,,
Attribute Definition,,,,,180116.7500,654624.7403,64.3000,
Attribute Definition,,,,,180116.7500,654622.1899,64.3000,
Line,,,,,,,,
Attribute Definition,,,,,180050.9100,654605.4260,64.5800,
4402,,,,,180048.0800,654584.4200,64.8900,
Line,,,,,,,,
Attribute Definition,,,,,180050.9100,654606.7099,64.5800,
Line,,,,,,,,
Circle,,,,,,,,
Attribute Definition,,,,,180050.9100,654609.2603,64.5800,
Attribute Definition,,,,,180048.0800,654581.8360,64.8900,
4402,,,,,180121.1700,654654.2200,64.2700,
Line,,,,,,,,
Attribute Definition,,,,,180048.0800,654583.1199,64.8900,
Line,,,,,,,,
Circle,,,,,,,,
Attribute Definition,,,,,180048.0800,654585.6703,64.8900,
4402,,,,,180100.9800,654434.6700,62.3800,
Circle,,,,,,,,
Attribute Definition,,,,,180082.8900,654362.5903,60.3900,
Attribute Definition,,,,,180082.8900,654360.0399,60.3900,
Line,,,,,,,,
Attribute Definition,,,,,180216.3700,654323.6860,56.8300,
4402,,,,,180082.8900,654361.3400,60.3900,
Line,,,,,,,,
Circle,,,,,,,,
Attribute Definition,,,,,180210.2800,654312.1903,56.6100,
Attribute Definition,,,,,180210.2800,654309.6399,56.6100,
Line,,,,,,,,
Attribute Definition,,,,,180082.8900,654358.7560,60.3900,
4402,,,,,180210.2800,654310.9400,56.6100,
Line,,,,,,,,
Attribute Definition,,,,,180216.3700,654324.9699,56.8300,
Line,,,,,,,,
Circle,,,,,,,,
Attribute Definition,,,,,180165.1600,654309.9203,58.4100,
Line,,,,,,,,
Attribute Definition,,,,,180144.1400,654355.9699,59.5800,
Attribute Definition,,,,,180144.1400,654354.6860,59.5800,
4402,,,,,180165.1600,654308.6700,58.4100,
Line,,,,,,,,
Circle,,,,,,,,
Attribute Definition,,,,,180216.3700,654327.5203,56.8300,
Line,,,,,,,,
Attribute Definition,,,,,180165.1600,654307.3699,58.4100,
Attribute Definition,,,,,180165.1600,654306.0860,58.4100,
4402,,,,,180216.3700,654326.2700,56.8300,
Attribute Definition,,,,,180021.1500,654586.4403,64.9500,
Attribute Definition,,,,,180021.1500,654583.8899,64.9500,
Attribute Definition,,,,,180021.1500,654582.6060,64.9500,
Circle,,,,,,,,
4402,,,,,180021.1500,654585.1900,64.9500,
Line,,,,,,,,
Line,,,,,,,,
Attribute Definition,,,,,180295.7200,654419.9303,58.9000,
Attribute Definition,,,,,180295.7200,654417.3799,58.9000,
Attribute Definition,,,,,180295.7200,654416.0960,58.9000,
Circle,,,,,,,,
4402,,,,,180295.7200,654418.6800,58.9000,
Line,,,,,,,,
Line,,,,,,,,
Attribute Definition,,,,,180019.7600,654484.2060,63.3600,
Circle,,,,,,,,
Attribute Definition,,,,,180212.3600,654304.1403,57.7700,
Attribute Definition,,,,,180212.3600,654301.5899,57.7700,
Line,,,,,,,,
Attribute Definition,,,,,180210.2800,654308.3560,56.6100,
4402,,,,,180212.3600,654302.8900,57.7700,
Line,,,,,,,,
Circle,,,,,,,,
Attribute Definition,,,,,180019.7600,654488.0403,63.3600,
Attribute Definition,,,,,180019.7600,654485.4899,63.3600,
Line,,,,,,,,
Attribute Definition,,,,,180212.3600,654300.3060,57.7700,
4402,,,,,180019.7600,654486.7900,63.3600,
Line,,,,,,,,
Attribute Definition,,,,,180187.9800,654613.1403,62.7900,
Attribute Definition,,,,,180187.9800,654610.5899,62.7900,
Attribute Definition,,,,,180187.9800,654609.3060,62.7900,
Circle,,,,,,,,
4402,,,,,180187.9800,654611.8900,62.7900,
Line,,,,,,,,
Line,,,,,,,,
Attribute Definition,,,,,180273.8400,654641.7203,62.4200,
Attribute Definition,,,,,180273.8400,654639.1699,62.4200,
Attribute Definition,,,,,180273.8400,654637.8860,62.4200,
Circle,,,,,,,,
4402,,,,,180273.8400,654640.4700,62.4200,
Line,,,,,,,,
Line,,,,,,,,
Attribute Definition,,,,,180161.9300,654602.2460,63.4900,
Circle,,,,,,,,
Attribute Definition,,,,,180127.9400,654554.9803,64.2900,
Attribute Definition,,,,,180127.9400,654552.4299,64.2900,
Line,,,,,,,,
Attribute Definition,,,,,180162.1000,654664.2960,63.3300,
4402,,,,,180127.9400,654553.7300,64.2900,
Line,,,,,,,,
Circle,,,,,,,,
Attribute Definition,,,,,180161.9300,654606.0803,63.4900,
Attribute Definition,,,,,180161.9300,654603.5299,63.4900,
Line,,,,,,,,
Attribute Definition,,,,,180127.9400,654551.1460,64.2900,
4402,,,,,180161.9300,654604.8300,63.4900,
Line,,,,,,,,
Attribute Definition,,,,,180210.7700,654645.8099,63.1000,
Attribute Definition,,,,,180210.7700,654644.5260,63.1000,
4402,,,,,180264.4600,654580.9200,61.4400,
Attribute Definition,,,,,180210.7700,654648.3603,63.1000,
Line,,,,,,,,
Line,,,,,,,,
Circle,,,,,,,,
Attribute Definition,,,,,180264.4600,654579.6199,61.4400,
Attribute Definition,,,,,180264.4600,654578.3360,61.4400,
4402,,,,,180259.6500,654551.8000,61.1200,
Attribute Definition,,,,,180264.4600,654582.1703,61.4400,
Line,,,,,,,,
Line,,,,,,,,
Circle,,,,,,,,
4402,,,,,180210.7700,654647.1100,63.1000,
Attribute Definition,,,,,180277.9000,654670.8603,64.0400,
Attribute Definition,,,,,180277.9000,654668.3099,64.0400,
Attribute Definition,,,,,180277.9000,654667.0260,64.0400,
Circle,,,,,,,,
4402,,,,,180277.9000,654669.6100,64.0400,
Line,,,,,,,,
Line,,,,,,,,
Attribute Definition,,,,,180269.3300,654612.1603,61.8000,
Attribute Definition,,,,,180269.3300,654609.6099,61.8000,
Attribute Definition,,,,,180269.3300,654608.3260,61.8000,
Circle,,,,,,,,
4402,,,,,180269.3300,654610.9100,61.8000,
Line,,,,,,,,
Line,,,,,,,,
Attribute Definition,,,,,180162.1000,654665.5799,63.3300,
